,clickstream_userid,S0,S1,S2,S3,Model Score S0,Model Score S1,Model Score S2,Model Score S3
d8c6b6bd28b0ae8b80cd6caff4774e5f,d8c6b6bd28b0ae8b80cd6caff4774e5f,0,0,1,0,0.1,0.04,0.72,0.0
8206e4c67a3f480603320c9db70c9b29,8206e4c67a3f480603320c9db70c9b29,0,0,0,1,0.36,0.08,0.16,0.66
869fb41d817b0e9b01792351bd286ac6,869fb41d817b0e9b01792351bd286ac6,1,0,0,0,0.82,0.02,0.12,0.04
165405bb5ca1071332f1c2bd4936af84,165405bb5ca1071332f1c2bd4936af84,0,0,1,0,0.16,0.04,0.42,0.08
cf6f9f318f1ab0296093a17c4b7ffb20,cf6f9f318f1ab0296093a17c4b7ffb20,0,0,0,1,0.44,0.2,0.12,0.66
4beeae0129599ff40ed15dd9d5d14cd6,4beeae0129599ff40ed15dd9d5d14cd6,0,0,0,1,0.12,0.02,0.24,0.66
a5d9cdb90222291d061fa9b95656c044,a5d9cdb90222291d061fa9b95656c044,1,0,0,0,0.8,0.04,0.28,0.08
268217babd09e1631bd19da20fabe6db,268217babd09e1631bd19da20fabe6db,1,0,0,0,0.82,0.02,0.18,0.04
e4687b392372e8966749af699dbdd24c,e4687b392372e8966749af699dbdd24c,1,0,0,0,0.64,0.08,0.1,0.12
c5363f85b9405b07bb7115de67147a19,c5363f85b9405b07bb7115de67147a19,0,1,0,0,0.26,0.12,0.08,0.06
9a99300e0cedcd9fc4724df6856c2e1b,9a99300e0cedcd9fc4724df6856c2e1b,0,1,0,0,0.42,0.68,0.16,0.04
2a06c1231f43eec8799e79b080942622,2a06c1231f43eec8799e79b080942622,0,0,1,0,0.08,0.04,0.4,0.02
b5df08e460c8bec418c5991da46970a2,b5df08e460c8bec418c5991da46970a2,0,0,1,0,0.16,0.06,0.8,0.04
d33d240e854d5f41fa8ce2f68f39eb58,d33d240e854d5f41fa8ce2f68f39eb58,0,1,0,0,0.46,0.64,0.14,0.04
31fca9c86a5ce0d12561bac8cb2f5b94,31fca9c86a5ce0d12561bac8cb2f5b94,1,0,0,0,0.7,0.02,0.16,0.1
7aecd9f73daaafa361e74d0939c2a21d,7aecd9f73daaafa361e74d0939c2a21d,0,0,0,1,0.06,0.02,0.1,0.72
622b00a9bdbbeeffaa0784cdc029a7da,622b00a9bdbbeeffaa0784cdc029a7da,1,0,0,0,0.78,0.06,0.02,0.0
8d08fd96895f819068bdc9709bd2805f,8d08fd96895f819068bdc9709bd2805f,0,0,1,0,0.08,0.04,0.7,0.06
78abef44a3077e99df78a43e83967528,78abef44a3077e99df78a43e83967528,1,0,0,0,0.7,0.0,0.06,0.12
848cca1d2188f7c638a8c76f00193f99,848cca1d2188f7c638a8c76f00193f99,0,0,0,1,0.3314285714285714,0.02,0.1,0.04
0059bef17d8592f3c6831a21ced8612f,0059bef17d8592f3c6831a21ced8612f,0,0,0,1,0.12,0.1,0.08,0.68
5046756f932fd375c5283bffa875d04f,5046756f932fd375c5283bffa875d04f,0,0,1,0,0.16,0.0,0.76,0.2
b288c5d160e50c0811d49008db538340,b288c5d160e50c0811d49008db538340,0,0,1,0,0.14,0.08,0.7,0.06
441386f19d282906bc1c1e09015eca2a,441386f19d282906bc1c1e09015eca2a,1,0,0,0,0.84,0.04,0.14,0.0
2a14f9ce368a26c7a61f07ff439f5165,2a14f9ce368a26c7a61f07ff439f5165,1,0,0,0,0.7,0.08,0.12,0.24
1c7aef903d7f7604434ff1c76912f60b,1c7aef903d7f7604434ff1c76912f60b,0,0,1,0,0.34,0.06,0.5,0.06
77656c0868ea8d31d2ae1f5242cc480b,77656c0868ea8d31d2ae1f5242cc480b,1,0,0,0,0.76,0.02,0.16,0.04
85c9d9878ba0922dd628fbca377ba264,85c9d9878ba0922dd628fbca377ba264,0,1,0,0,0.12,0.68,0.02,0.02
9f73ea25e1348977cf4320c5d322ad40,9f73ea25e1348977cf4320c5d322ad40,0,1,0,0,0.14,0.78,0.14,0.04
4629d83be91c47c07a1284505a3b1bc0,4629d83be91c47c07a1284505a3b1bc0,1,0,0,0,0.78,0.14,0.1,0.08
884658b38ae0dd0f232506d2af3ac325,884658b38ae0dd0f232506d2af3ac325,1,0,0,0,0.72,0.04,0.14,0.02
015abb1e32b39aae330da1ced6db245e,015abb1e32b39aae330da1ced6db245e,0,0,1,0,0.12,0.04,0.78,0.02
7f3d6c03889c4bd4d3511072bde6a7ce,7f3d6c03889c4bd4d3511072bde6a7ce,1,0,0,0,0.8,0.04,0.1,0.04
3fdcd6f6b87b06564583e7239c19a533,3fdcd6f6b87b06564583e7239c19a533,0,0,0,1,0.1,0.04,0.44,0.62
f47ff24890e14004855c415b05b21f87,f47ff24890e14004855c415b05b21f87,0,1,0,0,0.3,0.62,0.16,0.04
a5b6e45b224b7a41ac45e9743ed4a526,a5b6e45b224b7a41ac45e9743ed4a526,1,0,0,0,0.86,0.1,0.2,0.02
63529d0c41aa90cb4470cc97e03cc94b,63529d0c41aa90cb4470cc97e03cc94b,0,0,1,0,0.2,0.0,0.8,0.04
b0b9b6abf4abdc752b7dfe174e92768d,b0b9b6abf4abdc752b7dfe174e92768d,0,0,1,0,0.12,0.08,0.36,0.06
da7eae68904b87f2e08a78425123f87a,da7eae68904b87f2e08a78425123f87a,0,0,0,1,0.24,0.02,0.16,0.6
6ecf6c3b75ec292ee0fdef81c82f68b0,6ecf6c3b75ec292ee0fdef81c82f68b0,0,0,1,0,0.42,0.04,0.84,0.06
be2d7fcdaf0e8b70be9e6b33d211dac0,be2d7fcdaf0e8b70be9e6b33d211dac0,0,0,1,0,0.1,0.04,0.88,0.0
1c118fd5947ded97a9f5f7be337e1a90,1c118fd5947ded97a9f5f7be337e1a90,0,0,1,0,0.1,0.0,0.78,0.06
37c17d846686ebd448095b75e6736b9c,37c17d846686ebd448095b75e6736b9c,0,0,0,1,0.18,0.0,0.1,0.58
876de3a58344e948ea0d2c8ff57039c1,876de3a58344e948ea0d2c8ff57039c1,0,0,1,0,0.24,0.18,0.74,0.06
db67a3f40e688034d6e4faad90b97c85,db67a3f40e688034d6e4faad90b97c85,0,0,1,0,0.18,0.02,0.84,0.04
22e6ac3bf32a302c20a9fb4fdd1031c6,22e6ac3bf32a302c20a9fb4fdd1031c6,0,1,0,0,0.2,0.66,0.06,0.08
a34b2b0bb089bb1dff3f6366973ce7f5,a34b2b0bb089bb1dff3f6366973ce7f5,1,0,0,0,0.78,0.1,0.14,0.04
b2d30a795bac8c6af3f16efd3f17a83d,b2d30a795bac8c6af3f16efd3f17a83d,0,1,0,0,0.08,0.7,0.2,0.0
439850bbdb8ed23cbd7f3f67b5e749ff,439850bbdb8ed23cbd7f3f67b5e749ff,0,0,1,0,0.28,0.06,0.78,0.04
a9c87a6ff1dc6e9a7fdc2d8c1f225b4a,a9c87a6ff1dc6e9a7fdc2d8c1f225b4a,0,1,0,0,0.08,0.72,0.12,0.06
4fecdd2b9d6169b48c7c32feba14cd36,4fecdd2b9d6169b48c7c32feba14cd36,0,1,0,0,0.22,0.64,0.16,0.08
07560264e09592195fea3aa4b102237d,07560264e09592195fea3aa4b102237d,1,0,0,0,0.74,0.04,0.16,0.06
eabc6908c6164b363cf8252ef076a479,eabc6908c6164b363cf8252ef076a479,0,0,1,0,0.2,0.02,0.8,0.06
ced5327c3276e11699241474b5bfc9d9,ced5327c3276e11699241474b5bfc9d9,0,1,0,0,0.08,0.82,0.18,0.0
cf44d935982842f0d2d1d963db6ba354,cf44d935982842f0d2d1d963db6ba354,0,0,0,1,0.2,0.08,0.12,0.74
f7f952a618ab732fc73537974203a2e5,f7f952a618ab732fc73537974203a2e5,0,0,0,1,0.16,0.02,0.12,0.7
9920c920347a8eb871fcabf08aeae456,9920c920347a8eb871fcabf08aeae456,0,0,1,0,0.14,0.08,0.84,0.08
eeff970e0a06c16c5d8a214f74698441,eeff970e0a06c16c5d8a214f74698441,1,0,0,0,0.66,0.1,0.12,0.04
9a97f8718c62aec0695e5ff8da86a533,9a97f8718c62aec0695e5ff8da86a533,0,1,0,0,0.18,0.68,0.1,0.08
d8580e47faa8741dc9f6f78167208d2a,d8580e47faa8741dc9f6f78167208d2a,1,0,0,0,0.68,0.14,0.18,0.08
6f9b052d610be5a0ebb8dd3a469fccd5,6f9b052d610be5a0ebb8dd3a469fccd5,1,0,0,0,0.78,0.04,0.08,0.04
574b98710748c141989a76beedf426cd,574b98710748c141989a76beedf426cd,0,0,0,1,0.46,0.06,0.26,0.8
03e13fd5a4220fd633e822f01f3808a9,03e13fd5a4220fd633e822f01f3808a9,0,0,0,1,0.14,0.0,0.1,0.64
b30bd932e0c3180d78a847c23b668f40,b30bd932e0c3180d78a847c23b668f40,0,0,1,0,0.14,0.06,0.82,0.02
ebdfae7c4e3263e561db7cc8a8efa0c0,ebdfae7c4e3263e561db7cc8a8efa0c0,0,0,0,1,0.14,0.0,0.08,0.14
19e2b6cbe09e45c1433aac90217fe984,19e2b6cbe09e45c1433aac90217fe984,1,0,0,0,0.78,0.02,0.08,0.02
e2d9691f0673002d32fc9e29cba922ee,e2d9691f0673002d32fc9e29cba922ee,1,0,0,0,0.8,0.1,0.38,0.06
076981db5b9844dd1d433a4e45c26209,076981db5b9844dd1d433a4e45c26209,0,0,1,0,0.06,0.04,0.74,0.08
6dd0a01eb8afb32a98de4c87036c44a2,6dd0a01eb8afb32a98de4c87036c44a2,0,0,1,0,0.26,0.06,0.76,0.08
4c16aa59504e03dc56a8f4571cb8f18a,4c16aa59504e03dc56a8f4571cb8f18a,0,0,1,0,0.16,0.02,0.7,0.06
b2d36aa477b95c176a5b57a1fb49bf0c,b2d36aa477b95c176a5b57a1fb49bf0c,0,1,0,0,0.18,0.58,0.44,0.14
560275048e2204bc0c1775b070d0603f,560275048e2204bc0c1775b070d0603f,1,0,0,0,0.64,0.04,0.1,0.1
26a8910920dcff6f33de3a69195fc2ab,26a8910920dcff6f33de3a69195fc2ab,1,0,0,0,0.8,0.1,0.08,0.1
01d60799d97e10ffd7106b623a131019,01d60799d97e10ffd7106b623a131019,0,0,1,0,0.1,0.02,0.74,0.08
ae769876357ab44c36d565acd986e055,ae769876357ab44c36d565acd986e055,0,1,0,0,0.04,0.7,0.26,0.06
b1e23868ba8e6f9c3d229c5d14dbf643,b1e23868ba8e6f9c3d229c5d14dbf643,1,0,0,0,0.78,0.06,0.16,0.04
496683f9caf1d19baf53460a2eff17a4,496683f9caf1d19baf53460a2eff17a4,1,0,0,0,0.8,0.0,0.14,0.02
b3bf6238e6517afb9a8466d3c708eee8,b3bf6238e6517afb9a8466d3c708eee8,0,0,0,1,0.1,0.04,0.26,0.68
66a08b0ec2cda90a30e8fe8077a475fb,66a08b0ec2cda90a30e8fe8077a475fb,0,0,0,1,0.06,0.04,0.08,0.64
dc2e1ecb7abcb1b191a6d2c482af612c,dc2e1ecb7abcb1b191a6d2c482af612c,0,0,0,1,0.14,0.06,0.24,0.66
69e9dd0b76910b9a9b9bae4e13ce2d2c,69e9dd0b76910b9a9b9bae4e13ce2d2c,0,1,0,0,0.48,0.8,0.12,0.04
1981d29490eea9f082ce00a3e35825ac,1981d29490eea9f082ce00a3e35825ac,0,0,1,0,0.12,0.04,0.4,0.04
624f5ae66541acf4f0a8237904d09897,624f5ae66541acf4f0a8237904d09897,1,0,0,0,0.42,0.06,0.12,0.06
f9324eee48c54461969258f27fccc776,f9324eee48c54461969258f27fccc776,1,0,0,0,0.8,0.04,0.1,0.04
c0a754ce661c1f07728779969a37c611,c0a754ce661c1f07728779969a37c611,0,0,1,0,0.06,0.04,0.7,0.04
8367caf6fc96f176b98116d91756918a,8367caf6fc96f176b98116d91756918a,1,0,0,0,0.74,0.02,0.22,0.02
3d103a109eef227d596b732b2dfaf730,3d103a109eef227d596b732b2dfaf730,1,0,0,0,0.76,0.02,0.36,0.0
3d8b89df436490d3213e59d51f38274c,3d8b89df436490d3213e59d51f38274c,0,1,0,0,0.14,0.68,0.2,0.12
d1a7151b7730a5e8e8c25c42cf29d348,d1a7151b7730a5e8e8c25c42cf29d348,0,0,1,0,0.14,0.08,0.66,0.1
69eb2ae2da87daf5867617ac7c525af9,69eb2ae2da87daf5867617ac7c525af9,0,1,0,0,0.12,0.76,0.08,0.02
75a3f492df4454a4a298b89eeefa7276,75a3f492df4454a4a298b89eeefa7276,1,0,0,0,0.76,0.02,0.06,0.06
033f7cba24f789d194660dac42dee575,033f7cba24f789d194660dac42dee575,0,0,0,1,0.34,0.06,0.02,0.7
1c5e67368e8de8b775b900829ff120ed,1c5e67368e8de8b775b900829ff120ed,1,0,0,0,0.76,0.04,0.12,0.02
8ae1196ce917389a88c5d8859cf4a024,8ae1196ce917389a88c5d8859cf4a024,1,0,0,0,0.78,0.1,0.24,0.06
4a30470792468b640e19f01325f60e32,4a30470792468b640e19f01325f60e32,0,0,1,0,0.08,0.04,0.78,0.06
a0ac978778fccbae74b7644f37fbdb74,a0ac978778fccbae74b7644f37fbdb74,1,0,0,0,0.76,0.0,0.16,0.02
f2ce0278121eae57486ca831afd039df,f2ce0278121eae57486ca831afd039df,0,0,1,0,0.16,0.02,0.82,0.06
bae1794f102f6e76c750cbb0859c8c65,bae1794f102f6e76c750cbb0859c8c65,1,0,0,0,0.92,0.06,0.12,0.02
d5ad376937e9d39fd250e0aa0da78b00,d5ad376937e9d39fd250e0aa0da78b00,1,0,0,0,0.74,0.02,0.22,0.06
f9f51d3fd57473d5b44aca0f2614804d,f9f51d3fd57473d5b44aca0f2614804d,0,0,1,0,0.44,0.1,0.82,0.04
f40c48ee4734412edde9954542d20387,f40c48ee4734412edde9954542d20387,0,1,0,0,0.18,0.66,0.18,0.04
cf186875869ac5037fc4a3fd0cfc455e,cf186875869ac5037fc4a3fd0cfc455e,0,0,0,1,0.04,0.04,0.28,0.76
065944c6e8e770ca822cc5fc5790e1c4,065944c6e8e770ca822cc5fc5790e1c4,1,0,0,0,0.72,0.1,0.16,0.14
19534ed091e2e16327f52fb32ee16cb3,19534ed091e2e16327f52fb32ee16cb3,1,0,0,0,0.8,0.06,0.22,0.02
ae2db1a3cf34945d6ec656305957132f,ae2db1a3cf34945d6ec656305957132f,1,0,0,0,0.76,0.06,0.14,0.08
c9c650922270e46b55ccd3031120b368,c9c650922270e46b55ccd3031120b368,1,0,0,0,0.8,0.04,0.2,0.04
d6046aea24e8f4e3fbc6207b439278ec,d6046aea24e8f4e3fbc6207b439278ec,0,0,1,0,0.1,0.0,0.82,0.22
2ff0ed8afa6d54a9a583ed42782a5f29,2ff0ed8afa6d54a9a583ed42782a5f29,1,0,0,0,0.84,0.08,0.06,0.08
68fee9c7fd2b99858f37aa971bd99fc5,68fee9c7fd2b99858f37aa971bd99fc5,0,0,1,0,0.1,0.04,0.76,0.16
8a426cabe19edab7a9313e83a6485e1e,8a426cabe19edab7a9313e83a6485e1e,0,0,1,0,0.1,0.02,0.82,0.06
111dc2af43d81080621db3f079d8a873,111dc2af43d81080621db3f079d8a873,0,0,1,0,0.1,0.04,0.78,0.02
18f2cf4926246f91474c2722ab4cf3a4,18f2cf4926246f91474c2722ab4cf3a4,0,1,0,0,0.14,0.68,0.04,0.04
b6c099832c89d1f7775281981ee91ced,b6c099832c89d1f7775281981ee91ced,0,0,0,1,0.12,0.1,0.28,0.64
1f539ad10489f2ecb298927cc212549c,1f539ad10489f2ecb298927cc212549c,0,1,0,0,0.22,0.14,0.24,0.12
8c55fd433a3ffedce50ab6c15ad06016,8c55fd433a3ffedce50ab6c15ad06016,1,0,0,0,0.66,0.04,0.12,0.02
7ff76011442517e946eddbb1a3fe5fa8,7ff76011442517e946eddbb1a3fe5fa8,1,0,0,0,0.8,0.04,0.08,0.02
1322a998b4add8a9c593f1105949f9fa,1322a998b4add8a9c593f1105949f9fa,0,0,0,1,0.32,0.0,0.18,0.74
ad171eed979c637002ed2f24f4e24e0c,ad171eed979c637002ed2f24f4e24e0c,1,0,0,0,0.74,0.02,0.16,0.02
dc78fd2b803de8c776cbddae42791891,dc78fd2b803de8c776cbddae42791891,1,0,0,0,0.74,0.0,0.14666666666666667,0.04476190476190476
15be0854da0a48e70c92b43418989ea9,15be0854da0a48e70c92b43418989ea9,1,0,0,0,0.3,0.1,0.2,0.08
753f49008d0fe62683f9259455bf6183,753f49008d0fe62683f9259455bf6183,0,0,1,0,0.1,0.0,0.76,0.02
ae0b920fad2198b78326b696eba4c084,ae0b920fad2198b78326b696eba4c084,0,1,0,0,0.1,0.1,0.2,0.0
5431ee2da6078b18c267f22a9b48b844,5431ee2da6078b18c267f22a9b48b844,1,0,0,0,0.78,0.0,0.12,0.08
416c47e1af9030784b17723ccf42f84b,416c47e1af9030784b17723ccf42f84b,0,0,0,1,0.22,0.0,0.24,0.78
371b732f122da46e35c963d539271ab9,371b732f122da46e35c963d539271ab9,0,1,0,0,0.18,0.66,0.12,0.04
b679055a9174a02b1b706e565d242116,b679055a9174a02b1b706e565d242116,0,0,0,1,0.14,0.04,0.12,0.7
87c7aca918b789f48140a28ba7d6d051,87c7aca918b789f48140a28ba7d6d051,1,0,0,0,0.28,0.0,0.22,0.12
5cedff64d61fafca67b13c80eefad12d,5cedff64d61fafca67b13c80eefad12d,0,0,1,0,0.2,0.1,0.82,0.0
b21022f94bbe8c40e22786f1363e08ee,b21022f94bbe8c40e22786f1363e08ee,0,0,0,1,0.16,0.06,0.1,0.66
16c305c90a0403f1c044e2c4c1da42ba,16c305c90a0403f1c044e2c4c1da42ba,0,0,1,0,0.18,0.08,0.76,0.02
8dee7822b6bb38c89eb250926dd656af,8dee7822b6bb38c89eb250926dd656af,0,0,1,0,0.14,0.08,0.8,0.04
28182ea06d3622b74b99ab1b20a83cac,28182ea06d3622b74b99ab1b20a83cac,1,0,0,0,0.82,0.08,0.14,0.06
e67a723dc3634f83f716118bec99837d,e67a723dc3634f83f716118bec99837d,0,0,0,1,0.5,0.18,0.2,0.78
7c57b5246aba11abbf8c5d3b11414e04,7c57b5246aba11abbf8c5d3b11414e04,0,0,1,0,0.12,0.02,0.86,0.04
f0183eb5d581180237c3e6eb5325b90f,f0183eb5d581180237c3e6eb5325b90f,0,0,1,0,0.04,0.04,0.84,0.04
496c2bc27f2f33f8edfc439611f664d9,496c2bc27f2f33f8edfc439611f664d9,1,0,0,0,0.86,0.06,0.12,0.06
b3fc35e0e243f8226297022d0eceb82f,b3fc35e0e243f8226297022d0eceb82f,1,0,0,0,0.58,0.02,0.1,0.02
57a26e66058d869096e34c07d08829b8,57a26e66058d869096e34c07d08829b8,0,1,0,0,0.14,0.56,0.42,0.06
a49e51960d3a9d874e01069cc92ef8e9,a49e51960d3a9d874e01069cc92ef8e9,0,1,0,0,0.06,0.7,0.22,0.14
f0cd2688ae494eac2b788c7b290b7d71,f0cd2688ae494eac2b788c7b290b7d71,1,0,0,0,0.78,0.02,0.16,0.02
2995629cdcba3008dd27de677e1e7f55,2995629cdcba3008dd27de677e1e7f55,0,1,0,0,0.2,0.54,0.3,0.02
19e56a26f0b73d46fdda396c02eb7fa8,19e56a26f0b73d46fdda396c02eb7fa8,0,0,1,0,0.12,0.24,0.86,0.08
af174f9b191e343bddab982e365d5c51,af174f9b191e343bddab982e365d5c51,1,0,0,0,0.22,0.08,0.22,0.1
4f5fbc3871f71c035e83877295f47456,4f5fbc3871f71c035e83877295f47456,0,0,0,1,0.18,0.02,0.08,0.64
164093d08ac02751e406b8d719ee0d76,164093d08ac02751e406b8d719ee0d76,0,0,1,0,0.22,0.02,0.78,0.1
8323ee4022c27b553967e0200f4e4316,8323ee4022c27b553967e0200f4e4316,0,0,1,0,0.12,0.02,0.9,0.04
2cb0dd8781471bf2aad989b940d35357,2cb0dd8781471bf2aad989b940d35357,1,0,0,0,0.9,0.1,0.12,0.02
ac610c4ce9c3c0a881bf9155ba4c1d61,ac610c4ce9c3c0a881bf9155ba4c1d61,0,0,1,0,0.26,0.04,0.74,0.02
0c1858e3e6227d931ba452c59347d82e,0c1858e3e6227d931ba452c59347d82e,1,0,0,0,0.88,0.0,0.04,0.1
ef2f74421a3c1b62e468edadc6a00327,ef2f74421a3c1b62e468edadc6a00327,1,0,0,0,0.7,0.06,0.64,0.06
a2c8789807a546a1ee5fe7a22651ae38,a2c8789807a546a1ee5fe7a22651ae38,0,0,1,0,0.24,0.02,0.8,0.04
4b34d4557c2dc02079fcbfe4e1716433,4b34d4557c2dc02079fcbfe4e1716433,1,0,0,0,0.68,0.08,0.14,0.04
f157c2e1ed8a6a8ec24bebca92dbca75,f157c2e1ed8a6a8ec24bebca92dbca75,1,0,0,0,0.78,0.04,0.12,0.02
7c04496918cfc04f5f0a4c477805c831,7c04496918cfc04f5f0a4c477805c831,0,0,1,0,0.1,0.06,0.92,0.02
b4d7dabc08014bb19b4cd3d3123df1fe,b4d7dabc08014bb19b4cd3d3123df1fe,0,0,1,0,0.18,0.08,0.36,0.02
9652507c64b6cd28e6f25aebe9e28b1a,9652507c64b6cd28e6f25aebe9e28b1a,0,0,1,0,0.16,0.06,0.66,0.04
4d2b71a27390e2060db836ffa9e76186,4d2b71a27390e2060db836ffa9e76186,0,0,1,0,0.18,0.02,0.26,0.14
415a8f591661c8df31692c74392ee482,415a8f591661c8df31692c74392ee482,0,0,1,0,0.16,0.02,0.52,0.04
3272350e9020750b00e0afc3ab01ce78,3272350e9020750b00e0afc3ab01ce78,0,0,1,0,0.1,0.02,0.86,0.02
8b0ca0a186b737f99adc2a6c436815b5,8b0ca0a186b737f99adc2a6c436815b5,1,0,0,0,0.46,0.08,0.08,0.1
25175352efa6f12159700f4ed222ce6f,25175352efa6f12159700f4ed222ce6f,1,0,0,0,0.8,0.132,0.16,0.02
52495af68a4b95955b2734cd2bef1dc2,52495af68a4b95955b2734cd2bef1dc2,0,0,1,0,0.14,0.02,0.8,0.04
8b2f0bbaf4618783aed6f4089e1ca3f8,8b2f0bbaf4618783aed6f4089e1ca3f8,1,0,0,0,0.78,0.0,0.08,0.08
3357477aa558760b1e2a1242774556be,3357477aa558760b1e2a1242774556be,0,0,0,1,0.36,0.14,0.18,0.6
7d6d1a3813223c8776b1995f74e88aa2,7d6d1a3813223c8776b1995f74e88aa2,1,0,0,0,0.68,0.06,0.18,0.1
1ad0cc17f0ca55fba68ca83f1d4f628d,1ad0cc17f0ca55fba68ca83f1d4f628d,1,0,0,0,0.7,0.04,0.14,0.06
cb2d24772e76ec6fdcb060b3ab7bed51,cb2d24772e76ec6fdcb060b3ab7bed51,0,0,0,1,0.08,0.02,0.12,0.66
31288b3695186f7772efca25279e3313,31288b3695186f7772efca25279e3313,0,0,1,0,0.2,0.16,0.8,0.04
cc8fa63349ffece7d4f613e83b782efc,cc8fa63349ffece7d4f613e83b782efc,1,0,0,0,0.78,0.1,0.16,0.06
e3ab6e366e561004705e145a98173f8d,e3ab6e366e561004705e145a98173f8d,1,0,0,0,0.86,0.0,0.16,0.08
8cd2427bcc683590ffa4402bbf2ea076,8cd2427bcc683590ffa4402bbf2ea076,0,0,1,0,0.08,0.08,0.9,0.04
0f03663aa81fdc4e44a6c0fe2f63c49a,0f03663aa81fdc4e44a6c0fe2f63c49a,1,0,0,0,0.8,0.06,0.52,0.12
bc0e0a1d1941ebcc0b6da63d5ecb7c95,bc0e0a1d1941ebcc0b6da63d5ecb7c95,1,0,0,0,0.76,0.06,0.08,0.02
b3cffdff6d0c1ee5c5de80d2799f1615,b3cffdff6d0c1ee5c5de80d2799f1615,0,0,1,0,0.08,0.06,0.66,0.06
dc86d7f1ab8c4e78125a82c0a4b4f5b7,dc86d7f1ab8c4e78125a82c0a4b4f5b7,0,0,1,0,0.18,0.08,0.68,0.04
c6f26ef3f209acfcbb541ddc4a77385f,c6f26ef3f209acfcbb541ddc4a77385f,1,0,0,0,0.78,0.02,0.12,0.04
af70d7ce68340a79419b9617c5d5828e,af70d7ce68340a79419b9617c5d5828e,1,0,0,0,0.4,0.0,0.34,0.06
0e806babb7ffacf88079febaaaa6d053,0e806babb7ffacf88079febaaaa6d053,0,0,1,0,0.08,0.02,0.7,0.0
2f5a7af3345682205e55ce062416f0ae,2f5a7af3345682205e55ce062416f0ae,0,0,1,0,0.16,0.02,0.8,0.02
649e4e811ea7be95bc0cc1055192bca3,649e4e811ea7be95bc0cc1055192bca3,0,0,1,0,0.14,0.0,0.76,0.12
ef833277de068955d8359581bc05d2ec,ef833277de068955d8359581bc05d2ec,1,0,0,0,0.72,0.08,0.08,0.12
7bd4f9a173eb0fc7079d4235eb798fb8,7bd4f9a173eb0fc7079d4235eb798fb8,0,0,0,1,0.3,0.08,0.08,0.66
5dd16d36c574ab87b5179d98e4bf3c3d,5dd16d36c574ab87b5179d98e4bf3c3d,0,0,1,0,0.14,0.06,0.78,0.1
f4d4f30c08dfd43669ff62641d9519d2,f4d4f30c08dfd43669ff62641d9519d2,1,0,0,0,0.74,0.08,0.14,0.0
6f5e86cfb1ab4aba333b7f1b8a2457da,6f5e86cfb1ab4aba333b7f1b8a2457da,0,0,0,1,0.2,0.04,0.1,0.7
c5eaca18665527fd9392b3634d22d57e,c5eaca18665527fd9392b3634d22d57e,1,0,0,0,0.62,0.0,0.1,0.12
e8d28d87837d7d644a8d2d48b35430ea,e8d28d87837d7d644a8d2d48b35430ea,1,0,0,0,0.74,0.06,0.16,0.08
d6a6f0ec455dc29b6f1c45380e1fd403,d6a6f0ec455dc29b6f1c45380e1fd403,0,1,0,0,0.36,0.58,0.14,0.0
e00199b15ac121c36028fe28ff985ce5,e00199b15ac121c36028fe28ff985ce5,0,0,1,0,0.18,0.08,0.84,0.06
7f59e1d6b77aaff714a20bce2b1229f2,7f59e1d6b77aaff714a20bce2b1229f2,0,0,1,0,0.3,0.1,0.82,0.14
8053b5e96f101c2301df8b6d2d8b3360,8053b5e96f101c2301df8b6d2d8b3360,0,0,1,0,0.18,0.06,0.88,0.06
02f1b0ebb7b8104c2b40bf47845de686,02f1b0ebb7b8104c2b40bf47845de686,1,0,0,0,0.72,0.04,0.26,0.08
bb0f3ef1a892474bfb18a857af4200ba,bb0f3ef1a892474bfb18a857af4200ba,0,1,0,0,0.06,0.66,0.12,0.08
fe57655e4fb40926effee80103505357,fe57655e4fb40926effee80103505357,0,0,1,0,0.12,0.04,0.82,0.04
0eb12a47dbf6cb3fb922a9f6702cb0af,0eb12a47dbf6cb3fb922a9f6702cb0af,0,0,1,0,0.16,0.04,0.86,0.08
7a3af42e421344cc1f3d2a03b36d5f48,7a3af42e421344cc1f3d2a03b36d5f48,0,0,1,0,0.14,0.02,0.78,0.02
2ed303783d074d73a0c2403907b7d4d5,2ed303783d074d73a0c2403907b7d4d5,1,0,0,0,0.8333333333333333,0.08,0.1,0.08
a5953af21b3a415f2a8f3b79a08931be,a5953af21b3a415f2a8f3b79a08931be,1,0,0,0,0.66,0.02,0.4,0.02
6eec6e3605f327fbe787f577bbdb93ff,6eec6e3605f327fbe787f577bbdb93ff,0,0,0,1,0.12,0.02,0.14,0.64
243e232f245f1d0c8a1cd3cdbda31d1b,243e232f245f1d0c8a1cd3cdbda31d1b,1,0,0,0,0.7,0.02,0.24,0.06
3ba32f668388121275cdd557e0771e40,3ba32f668388121275cdd557e0771e40,0,0,1,0,0.14,0.18,0.86,0.12
78845375f7aa4a97111474896b886caa,78845375f7aa4a97111474896b886caa,0,0,1,0,0.22,0.02,0.76,0.0
7685d28c2afd52fdeeacef8aff9b3809,7685d28c2afd52fdeeacef8aff9b3809,0,0,1,0,0.14,0.0,0.76,0.12
9104b980d299e8d2ff5d55a638b72b28,9104b980d299e8d2ff5d55a638b72b28,0,1,0,0,0.12,0.54,0.22,0.02
9cf3cd890c24d2ecca4d78e9e2fade5d,9cf3cd890c24d2ecca4d78e9e2fade5d,0,0,1,0,0.16,0.04,0.72,0.04
